#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
1108	0.0016	0.0004
1109	0.0016	0.0002
1110	0.0058	0.0006
1111	0.0738	0.0176
1112	0.349	0.0916
1113	0.2684	0.0684
1114	0.2296	0.0586
1115	0.1356	0.0356
1116	0.0636	0.0156
1117	0.0288	0.0068
1118	0.0112	0.0038
1119	0.0052	0.0008
1120	0.0014	0.0004
1121	0.0008	0.0004
1122	0.0008	0.0002
1123	0.0076	0.0018
1124	0.06	0.017
1125	0.1896	0.052
1126	0.1962	0.051
1127	0.156	0.0384
1128	0.1252	0.0332
1129	0.0726	0.0164
1130	0.034	0.0076
1131	0.017	0.0036
1132	0.0068	0.0014
1133	0.0042	0.0012
1134	0.0026	0.0004
1135	0.0016	0.0004
1136	0.007	0.0004
1137	0.0786	0.0206
1138	0.2652	0.0674
1139	0.2936	0.0756
1140	0.2134	0.0518
1141	0.1384	0.0328
1142	0.0776	0.0196
1143	0.0336	0.008
1144	0.014	0.0032
1145	0.005	0.001
1146	0.0022	0
1147	0.0008	0
1148	0.0016	0
1149	0.0032	0.0008
1150	0.0164	0.005
1151	0.1506	0.0398
1152	0.258	0.059
1153	0.3846	0.0916
1154	0.2792	0.0672
1155	0.2196	0.0518
1156	0.1172	0.027
1157	0.0554	0.0138
1158	0.023	0.0062
1159	0.01	0.0024
1160	0.005	0.0012
1161	0.0022	0.0002
1162	0.0034	0.0014
1163	0.0048	0.0024
1164	0.0592	0.015
1165	0.2898	0.076
1166	0.2748	0.07
1167	0.2552	0.0674
1168	0.1748	0.0426
1169	0.0932	0.0218
1170	0.0438	0.0102
1171	0.0164	0.0042
1172	0.0062	0.0022
1173	0.0022	0.0004
1174	0.0014	0
1175	0.0002	0.0006
